time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-17T19:24:16.800Z,36.7614,-98.0639,8.019,2.8,ml,,66,,0.31,us,us2000820z,2017-03-16T02:31:26.040Z,"26km E of Cherokee, Oklahoma",earthquake,1.5,4.2,,,reviewed,tul,tul
2016-12-17T19:09:31.090Z,38.8368333,-122.783,0.82,2.54,md,55,47,0.006306,0.06,nc,nc72740405,2017-02-11T11:17:19.800Z,"5km WNW of Cobb, California",earthquake,0.12,0.17,0.199,54,reviewed,nc,nc
2016-12-17T12:31:04.900Z,35.6722,-97.4127,6.595,2.6,ml,,33,,0.33,us,us200081x1,2017-03-16T02:31:25.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1,3.2,,,reviewed,tul,tul
2016-12-17T06:57:39.580Z,37.6405,-118.9365,6.4,2.84,md,16,70,0.02613,0.04,nc,nc72739810,2017-02-11T11:07:00.321Z,"3km ESE of Mammoth Lakes, California",earthquake,0.42,0.81,0.449,13,reviewed,nc,nc
2016-12-17T06:57:11.920Z,37.6373333,-118.9396667,5.94,2.96,md,33,77,0.02613,0.05,nc,nc72739820,2017-03-16T02:31:24.040Z,"3km ESE of Mammoth Lakes, California",earthquake,0.23,0.35,0.336,31,reviewed,nc,nc
2016-12-17T06:08:57.000Z,36.5335,-98.971,5.864,2.6,ml,,79,,0.39,us,us200081ty,2017-03-16T02:31:24.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,1.6,4.1,,,reviewed,tul,tul
2016-12-17T05:08:51.210Z,41.6841667,-111.691,3.1,2.55,ml,28,108,0.1219,0.18,uu,uu60174772,2017-03-16T02:31:24.040Z,"10km ESE of Providence, Utah",earthquake,0.54,0.87,0.115,11,reviewed,uu,uu
2016-12-17T05:04:30.220Z,37.258,-97.8772,4.59,3,ml,,147,0.018,0.29,us,us200081tf,2017-03-16T02:31:24.040Z,"13km ESE of Harper, Kansas",earthquake,1.7,4.6,0.14,19,reviewed,ismp,ismp
2016-12-17T01:39:57.300Z,36.5771,-98.4775,6.762,2.7,ml,,49,,0.34,us,us200081sr,2017-03-16T02:31:24.040Z,"18km W of Helena, Oklahoma",earthquake,0.9,4.8,,,reviewed,tul,tul
2016-12-16T23:56:16.180Z,39.0256667,-123.3583333,5.51,2.68,md,46,145,0.1856,0.09,nc,nc72739525,2018-07-06T23:22:08.161Z,"1km NNE of Boonville, California",earthquake,0.21,0.43,0.271,39,reviewed,nc,nc
2016-12-16T23:06:32.700Z,36.3888,-96.7362,2.75,3.1,ml,,69,,0.49,us,us200081rs,2017-03-16T02:31:23.040Z,"8km NE of Pawnee, Oklahoma",earthquake,1.9,7.2,,,reviewed,tul,tul
2016-12-16T20:41:52.505Z,41.1964,-114.9249,0,3.2,ml,7,164.96,0.51,0.1253,nn,nn00569734,2018-07-02T18:08:51.703Z,"9km NNE of Wells, Nevada",earthquake,,0,0.26,6,reviewed,nn,nn
2016-12-16T19:07:55.550Z,43.8014,-105.2979,0,3.3,ml,,34,0.965,0.99,us,us200081nu,2017-03-16T02:31:23.040Z,"Wyoming",mining explosion,5.4,2,0.055,56,reviewed,us,us
2016-12-16T17:29:53.760Z,37.2605,-97.8792,3.68,2.5,ml,,148,0.021,0.27,us,us200081lx,2017-03-16T02:31:23.040Z,"13km ESE of Harper, Kansas",earthquake,1,2.1,0.158,18,reviewed,ismp,ismp
2016-12-16T14:20:42.100Z,36.9182,-97.5809,6.823,2.5,ml,,49,,0.62,us,us200081sa,2017-03-16T02:31:23.040Z,"12km S of Caldwell, Kansas",earthquake,1.7,1.6,,,reviewed,tul,tul
2016-12-16T09:45:14.890Z,37.4925,-118.8451667,6.66,2.79,md,30,116,0.0982,0.06,nc,nc72739230,2018-07-02T18:08:51.148Z,"21km SSE of Mammoth Lakes, California",earthquake,0.26,1.26,0.155,28,reviewed,nc,nc
2016-12-16T01:25:52.900Z,32.83,-116.1285,10.37,3.5,mw,107,32,0.0463,0.26,ci,ci37765816,2018-04-26T02:29:39.648Z,"16km NW of Ocotillo, CA",earthquake,0.15,0.45,,4,reviewed,ci,ci
