time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-25T21:22:26.550Z,60.7647,17.1626,10,2.8,ml,,180,2.681,0.34,us,us2000ixjc,2019-03-05T17:46:33.040Z,"10km N of Gavle, Sweden",earthquake,7.2,2,0.085,18,reviewed,us,us
2018-12-23T06:33:07.950Z,45.2676,20.9364,10,4.1,mb,,23,0.509,1.07,us,us2000iwk8,2019-11-26T03:04:53.928Z,"2km NW of Hajducica, Serbia",earthquake,4.2,2,0.184,8,reviewed,us,us
2018-11-26T14:17:37.720Z,42.5234,18.6128,7.34,4.2,mb,,31,0.488,0.57,us,us1000hwn9,2019-02-09T19:02:10.040Z,"4km NW of Lipci, Montenegro",earthquake,5.3,5.9,0.263,8,reviewed,us,us
2018-11-25T00:05:48.180Z,45.0284,38.6635,10,4.3,mb,,39,3.072,0.75,us,us1000hw9a,2019-02-02T20:02:29.040Z,"4km SSW of Belozernyy, Russia",earthquake,7.1,2,0.106,25,reviewed,us,us
2018-11-24T22:55:03.780Z,45.0084,38.613,10,4.4,mb,,29,3.099,0.74,us,us1000hw8p,2019-02-02T20:02:29.040Z,"8km SW of Belozernyy, Russia",earthquake,6.2,1.6,0.09,36,reviewed,us,us
2018-11-18T12:48:44.790Z,44.1941,12.7106,16.95,4,mwr,,65,1.189,0.89,us,us1000htjj,2019-01-30T18:36:21.040Z,"17km NE of Rimini, Italy",earthquake,5,7.3,,,reviewed,us,zamg
2018-11-15T07:48:24.590Z,54.8038,58.0396,10,4.4,mb,,54,1.6,1.22,us,us1000hs2f,2019-01-30T18:36:22.040Z,"11km WNW of Katav-Ivanovsk, Russia",earthquake,3.5,2,0.103,27,reviewed,us,us
2018-11-08T19:23:36.380Z,50.1926,18.7389,5,3.9,mb,,64,0.681,0.46,us,us1000hpcr,2019-01-21T16:42:53.040Z,"1km W of Ornontowice, Poland",earthquake,2.9,2,0.297,3,reviewed,us,us
2018-11-06T01:17:19.800Z,42.533,43.5963,10,5,mb,,30,1.567,0.59,us,us2000i79c,2019-01-21T16:42:53.040Z,"13km ESE of Oni, Georgia",earthquake,5.3,1.3,0.037,237,reviewed,us,us
2018-10-28T00:38:11.610Z,45.6575,26.3972,151,5.5,mww,,10,0.231,0.88,us,us1000hi43,2019-04-15T13:23:30.136Z,"15km SE of Comandau, Romania",earthquake,5.1,1.8,0.046,45,reviewed,us,us
2018-10-17T15:55:52.080Z,43.4927,44.9422,28.62,4.4,mb,,45,1.699,0.65,us,us1000hdes,2018-12-21T22:27:03.040Z,"11km W of Goragorskiy, Russia",earthquake,6.6,5.5,0.087,38,reviewed,us,us
2018-09-29T09:06:48.960Z,54.7481,58.0138,10,4.4,mb,,51,1.657,0.81,us,us1000h472,2018-12-01T16:43:20.040Z,"11km W of Katav-Ivanovsk, Russia",earthquake,4.7,2,0.088,37,reviewed,us,us
2018-09-22T02:04:59.280Z,45.612,26.5193,129.4,4.1,mwr,,36,0.242,0.64,us,us2000hiiq,2018-11-27T15:52:02.040Z,"15km NNW of Lopatari, Romania",earthquake,3.9,3.5,0.41,22,reviewed,us,buc
2018-09-15T16:35:15.950Z,51.564,16.1679,5,4.7,mb,,34,1.992,1.17,us,us2000hf7a,2018-11-21T18:19:06.040Z,"3km S of Grebocice, Poland",earthquake,5.1,1.9,0.06,85,reviewed,us,us
